tweet,hashtags,timestamp,full_url,like_count,retweet_count,language,is_about_learning
"ضمن سلسلة ""ملتقى الذكاء الاصطناعي التوليدي في التعليم"" بالشراكة بين #وزارة_التعليم وشركة #مايكروسوفت_التعليمية
#منصة_مدرستي
اللقاء الرابع  بعنوان / أدوات الذكاء الاصطناعي التوليدي في التعليم","['#وزارة_', 'التعليم', '#مايكروسوفت_التعليمية', '#منصة_مدرستي']",23/10/2023,https://x.com/nasser7752/status/1716472954966487071,17,6,ar,True
"الإدارة العامة للإيفاد والابتعاث بوزارة التعليم تدعو شاغلي الوظائف التعليمية لحضور عدة لقاءات""عن بعد"" بشهادات معتمدة/

 (تصميم المصادر التعليمية باستخدام الذكاء الاصطناعي التوليدي)
يوم غدٍ الاثنين ٤/٨

 (أدوات الذكاء الاصطناعي التوليدي في التعليم)
يوم الثلاثاء ٤/٩

يتبع ->",[],22/10/2023,https://x.com/sa_alajuni/status/1716167048739389889,51,5,ar,True
"ضمن ""ملتقى الذكاء الاصطناعي التوليدي في التعليم""؛ بالشراكة بين #وزارة_التعليم وشركة مايكروسوفت التعليمية..

#منصة_مدرستي تدعوكم لمتابعة اللقاء الثالث بعنوان: ""تصميم المصادر التعليمية باستخدام الذكاء الاصطناعي التوليدي"".

 عبر الرابط التالي:
https://teams.microsoft.com/l/meetup-join/19%3ameeting_MmVjYmFkYzgtYjc5MS00MGRjLWI2NmQtMWZmNjNhMTllNTY2%40thread.v2/0?context=%7B%22Tid%22%3A%226bca8351-01d3-4252-85ea-bda8f8d235bd%22%2C%22Oid%22%3A%22adb5eec7-9365-41d4-b992-200b8c2ec426%22%2C%22IsBroadcastMeeting%22%3Atrue%2C%22role%22%3A%22a%22%7D&btype=a&role=a…","['#وزارة_', 'التعليم', '#منصة_مدرستي']",22/10/2023,https://x.com/moe_madrasati/status/1716075840079798423,341,1678,ar,True
"مستعّد لرحلة مع الابتكار في التعليم؟ 
 نورة ناصر، مدير إدارة مشاريع تكنولوجيا المعلومات والاتصالات، تشرح لنا دور خالد، الأفاتار الإماراتي والمعلم الافتراضي المصمم من خلال ChatGPT.. والمتاح لطلبة كليات التقنية العليا. 

تعرّف على الذكاء الاصطناعي التوليدي أثناء العمل مع إجابة خالد",[],20/10/2023,https://x.com/HCT_UAE/status/1715341424588136760,0,0,ar,True
كما التقى معاليه بمعالي كريستينا كالاس، وزيرة التعليم والبحث في إستونيا لمناقشة أهمية التقنيات الحديثة والذكاء الاصطناعي في تعزيز قطاع التعليم ودور الذكاء الاصطناعي التوليدي في تحديث الأساليب التعليمية وتطوير تجربة الطلبة في المدارس وفي تنميتهم في المجالات المستقبلية.,[],19/10/2023,https://x.com/uaeai_2031/status/1715036647442563510,1,1,ar,True
اسمحوا لي أن اقدم لمجتمع المعلوماتية سرد فختصر عن تطور استخدامات الحاسوب في التعليم والتدريب حتى وصل إلى ماوصل اليه اليوم من تطور مذهل وما يعدبه قريبا من فوائد مذهلة بتوظيف الذكاء الصناعي التوليدي Generative  AI,[],19/10/2023,https://x.com/Drorainy/status/1714925812342751583,4,2,ar,True
"حضور اللقاء الثاني ضمن لقاءات #euday  عن توظيف الذكاء الاصطناعي التوليدي في التعليم وطرح أفكار رائعة ومفيدة في استخدام #ChatGPT
@Areejabdullahsa
 بارك الله جهودكم وتفع الله بكم  
@abeermehdar","['#euday', '#ChatGPT']",18/10/2023,https://x.com/rakhatoday/status/1714474942350139408,2,0,ar,True
"تم حضور اللقاء الثري والرائع 
عن توظيف الذكاء الاصطناعي التوليدي 
في التعليم وطرح العديد من  الأفكار الرائعة والملهمة
 #ChatGPT
@Areejabdullahsa
 @abeermehdar
لكم كل الشكر والتقدير",['#ChatGPT'],17/10/2023,https://x.com/hn_teacher/status/1714414358703317437,1,0,ar,True
"تم حضور لقاء مميز عن توظيف الذكاء الاصطناعي التوليدي في التعليم وطرح أفكار رائعة ومفيدة #ChatGPT
@Areejabdullahsa
شكرا لجهودكم 
@abeermehdar",['#ChatGPT'],17/10/2023,https://x.com/HanadiMadaniSA/status/1714378114002780494,6,1,ar,True
" مجانية مع شهادة 
 توظيف الذكاء الاصطناعي التوليدي في التعليم
#الثلاثاء ١٧ أكتوبر
 ٧ م 
 للدخول:
https://2u.pw/pd1p8cc

 تصميم المصادر التعليمية باستخدام الذكاء الاصطناعي
 #الاثنين ٢٣ أكتوبر
 ١٠ صباحا","['#الثلاثاء', '#الاثنين']",17/10/2023,https://x.com/dwratti/status/1714203725567246785,2,2,ar,True
"اللقاء القادم يوم الثلاثاء 2 / 4 / 1445 الموافق  17 أكتوبر الساعة 7 - 9 مساء:
توظيف الذكاء الاصطناعي التوليدي في التعليم.
الرابط على التيمز :
https://2u.pw/pd1p8cc",[],17/10/2023,https://x.com/alkhiary_khalid/status/1714178759912198300,1,0,ar,True
