tweet,hashtags,timestamp,full_url,like_count,retweet_count,language,is_about_learning
"يعلن برنامج التميز في التعليم والتعلم عن مخيم الذكاء الاصطناعي التوليدي ""عن بعد"" لأعضاء هيئة التدريس تحت عنوان: ""تعليم مدعم بالذكاء الاصطناعي"".

#جامعة_الأميرة_نورة
#PNU","['#جامعة_الأميرة_نورة', '#PNU']",25/12/2023,https://x.com/PNU_EVENTS/status/1739373584395424148,16,5,ar,True
"بهدف تنمية قدرات ومهارات الطلبة في استخدام مواقع الذكاء الاصطناعي التوليدي، قدم أخصائي مصادر التعلم أ.علي البلوشي ورشة تطبيقية حول موقع gamma لإنشاء وتصميم العروض التقديمية بالذكاء الاصطناعي وكيفية استخدامه بفاعلية.
#فعاليات_تعليمية_شمال_الباطنة
#تعلم_مستدام","['#فعاليات_تعليمية_شمال_الباطنة', '#تعلم_مستدام']",11/12/2023,https://x.com/lrc_almubbared/status/1734075170506096979,10,3,ar,True
"محاضرة اخرى في الأفق مع الصديق الدكتور فؤاد بوسطوان هذه المرة في مدينة عنابة في 16 ديسمبر 2023 بحول الله. 
الموضوع: تصميم مخ  مساعد بالذكاء الاصطناعي التوليدي. 
BUILDING A SECOND BRAIN  USING GENERATIVE AI. 
فرصة للتكلم عن الشركة او المساعد البحثي العربي الوحيد نجم #najmai",['#najmai'],04/12/2023,https://x.com/MoubachirSV/status/1731657872340136118,13,2,ar,True
"السلام عليكم تم رفع عرض لقاء الأدوات الذكية في البحث العلمي في ملف الدرايف https://drive.google.com/drive/folders/1iPt6nPR1EFlfr-qWnHEaQFfe1P_7SIbB?usp=sharing…

وكذلك يحتوي مصادر مختلفة يتم تحديثها دوريا بما يختص بالذكاء التوليدي في البحث والتعليم",[],28/09/2023,https://x.com/EntisarAlkayal/status/1707299156249764313,7,5,ar,True
"محرك بحث مدعوم بالذكاء الاصطناعي 

يحتوي مئات الآلاف من الأبحاث والكتب في كافة المواضيع والتخصصات 

مفيد لطلاب #الدراسات_العليا
#الذكاء_الإصطناعي 
#الذكاء_الاصطناعي_التوليدي 

http://searcholic.com/#gsc.tab=0","['#الدراسات_العليا', '#الذكاء_الإصطناعي', '#الذكاء_الاصطناعي_', 'التوليدي']",26/07/2023,https://x.com/shghadah1/status/1684041762229174273,1,2,ar,True
"الحمدلله تم حصلولنا على شهادة معلم معتمد لمنصة curipodofficial والتي تعتى بالذكاء الاصطناعي التوليدي مهمة جدا للمعلمين منصة حديثة قريبا سنقدم دورة عنها بإذن الله تعالى
انجاز وتحدي جديد للتطوير
@curipodofficial
 @BerreEirik",[],14/07/2023,https://x.com/Seba2200Galaxy/status/1679925357137260545,42,4,ar,True
"Taskade
ما زال يطور ويدعم أدواته بالذكاء الاصطناعي التوليدي

إنشاء الخرائط الذهنية اصبحت عملية سهلة ونتائجها شمولية أكثر كما تم دعم الأدوات بالعصف الذهني سواء من خلال انشاء الأفكار أو الأسئلة

تابع الفيديو",[],15/06/2023,https://x.com/smalkalbani/status/1669236911188189184,151,31,ar,True
ضمن إطار تعزيز المعرفة بالذكاء الاصطناعي التوليدي في الجامعات السعودية؛ انطلقت اليوم فعاليات ملتقى #الذكاء_الاصطناعي_التوليدي في العلوم الذي تنظمه #سدايا بالتعاون مع جامعة #كاوست,"['#الذكاء_الاصطناعي_', 'التوليدي', '#سدايا', '#كاوست']",08/06/2023,https://x.com/SDAIA_SA/status/1666822008867557377,31,17,ar,True
